dateTime,numCharacters,numWords,avgCharsPerWord,numTenCharOrMoreWords,numComputerKeywords,numExclaimationPoints
2021-04-14T20:41:00.000Z,171,32,4.38,2,1,0
2021-04-15T20:28:00.000Z,2106,408,4.16,11,0,1
2021-04-19T02:13:00.000Z,3712,702,4.29,25,0,1
2021-04-21T20:24:00.000Z,3478,646,4.39,27,2,2
2021-04-26T15:50:00.000Z,10095,1901,4.31,74,2,4
2021-05-02T00:45:00.000Z,730,144,4.08,4,1,0
2021-05-07T13:48:00.000Z,1575,302,4.22,6,0,1
2021-05-07T20:36:00.000Z,662,135,3.91,2,0,0
2021-05-08T16:07:00.000Z,2293,437,4.25,19,0,1
2022-05-10T15:59:00.000Z,251,50,4.04,0,0,1
2021-05-10T16:21:00.000Z,88,18,3.94,0,0,0
2021-05-10T21:34:00.000Z,7039,1289,4.46,80,0,0
2021-05-12T19:34:00.000Z,1011,194,4.22,8,3,2
2021-05-14T17:57:00.000Z,305,56,4.46,1,0,1
2021-05-19T04:39:00.000Z,4338,864,4.02,15,1,0
2021-05-20T21:33:00.000Z,1602,311,4.15,6,3,3
2021-05-25T01:59:00.000Z,110,21,4.29,1,0,0
2021-05-25T20:41:00.000Z,297,59,4.05,1,0,0
2021-06-03T03:33:00.000Z,1918,374,4.13,15,0,0
2021-06-22T21:23:00.000Z,1728,332,4.21,8,0,0
2021-06-27T15:05:00.000Z,12503,2408,4.19,82,0,3
2021-06-29T01:40:00.000Z,3087,578,4.34,23,1,0
2021-07-03T02:13:00.000Z,6179,1193,4.18,38,1,3
2021-07-03T03:30:00.000Z,3866,768,4.04,11,1,2
2021-07-11T16:50:00.000Z,7188,1398,4.14,24,2,1
2021-07-13T01:44:00.000Z,8472,1642,4.16,35,0,2
2021-07-13T03:10:00.000Z,703,138,4.1,5,0,0
2021-07-16T00:16:00.000Z,441,84,4.26,4,0,0
2021-07-16T22:37:00.000Z,1670,327,4.11,11,1,0
2021-07-18T20:47:00.000Z,215,44,3.91,1,0,0
2021-07-18T20:54:00.000Z,3118,587,4.31,22,1,4
